year,start_date,end_date
2022,2022-01-01,2022-01-02
2022,2022-02-14,2022-02-18
2022,2022-04-04,2022-04-18
2022,2022-05-30,2022-06-05
2022,2022-07-25,2022-09-05
2022,2022-10-24,2022-10-30
2022,2022-12-19,2022-12-31
2023,2023-01-01,2023-01-02
2023,2023-02-13,2023-02-17
2023,2023-04-03,2023-04-17
2023,2023-05-29,2023-06-04
2023,2023-07-31,2023-09-04
2023,2023-10-23,2023-10-29
2023,2023-12-18,2023-12-31
2024,2024-01-01,2024-01-01
2024,2024-02-12,2024-02-16
2024,2024-04-01,2024-04-14
2024,2024-05-27,2024-06-02
2024,2024-07-29,2024-09-02
2024,2024-10-28,2024-11-03
2024,2024-12-23,2024-12-31
