registration,six_hour_bin,quarter,reason,probability
g-daan,00-05,1,available,
g-daan,00-05,1,crew,
g-daan,00-05,1,weather,
g-daan,06-11,1,aircraft,0.005092592592592593
g-daan,06-11,1,available,0.5447685185185185
g-daan,06-11,1,crew,0.016435185185185185
g-daan,06-11,1,weather,0.4337037037037037
g-daan,12-17,1,aircraft,0.027941176470588237
g-daan,12-17,1,available,0.8024509803921569
g-daan,12-17,1,crew,0.030882352941176472
g-daan,12-17,1,weather,0.13872549019607844
g-daan,18-23,1,aircraft,
g-daan,18-23,1,available,
g-daan,18-23,1,crew,
g-daan,18-23,1,weather,
g-daan,06-11,2,aircraft,0.009722222222222222
g-daan,06-11,2,available,0.6287037037037037
g-daan,06-11,2,crew,0.05138888888888889
g-daan,06-11,2,weather,0.3101851851851852
g-daan,12-17,2,available,0.8075396825396826
g-daan,12-17,2,weather,0.19246031746031747
g-daan,06-11,3,aircraft,0.02346743295019157
g-daan,06-11,3,available,0.6458333333333334
g-daan,06-11,3,crew,0.04956896551724138
g-daan,06-11,3,weather,0.2811302681992337
g-daan,12-17,3,aircraft,0.022095959595959596
g-daan,12-17,3,available,0.8011363636363636
g-daan,12-17,3,crew,0.03409090909090909
g-daan,12-17,3,weather,0.14267676767676768
g-daan,18-23,3,available,0.8888888888888888
g-daan,18-23,3,crew,0.08333333333333333
g-daan,18-23,3,weather,0.027777777777777776
g-daan,06-11,4,aircraft,0.02634259259259259
g-daan,06-11,4,available,0.525787037037037
g-daan,06-11,4,crew,0.059027777777777776
g-daan,06-11,4,weather,0.3888425925925926
g-daan,12-17,4,aircraft,0.095
g-daan,12-17,4,available,0.7675
g-daan,12-17,4,weather,0.1375
g-daan,18-23,4,available,
g-daan,18-23,4,crew,
g-daan,18-23,4,weather,
g-daas,00-05,1,available,0.7928571428571428
g-daas,00-05,1,weather,0.20714285714285716
g-daas,06-11,1,aircraft,0.028774289985052316
g-daas,06-11,1,available,0.5934977578475337
g-daas,06-11,1,crew,0.206203288490284
g-daas,06-11,1,weather,0.17152466367713004
g-daas,12-17,1,available,0.5837758112094396
g-daas,12-17,1,crew,0.1224188790560472
g-daas,12-17,1,weather,0.2938053097345133
g-daas,18-23,1,aircraft,0.006944444444444444
g-daas,18-23,1,available,0.5007716049382716
g-daas,18-23,1,crew,0.09876543209876543
g-daas,18-23,1,weather,0.39351851851851855
g-daas,00-05,2,available,0.7678571428571429
g-daas,00-05,2,crew,0.07142857142857142
g-daas,00-05,2,weather,0.16071428571428573
g-daas,06-11,2,aircraft,0.2860824742268041
g-daas,06-11,2,available,0.44458762886597936
g-daas,06-11,2,crew,0.11469072164948453
g-daas,06-11,2,weather,0.15463917525773196
g-daas,12-17,2,aircraft,0.34782608695652173
g-daas,12-17,2,available,0.6086956521739131
g-daas,12-17,2,crew,0.043478260869565216
g-daas,18-23,2,aircraft,0.13046448087431695
g-daas,18-23,2,available,0.5280054644808743
g-daas,18-23,2,crew,0.020491803278688523
g-daas,18-23,2,weather,0.32103825136612024
g-daas,00-05,3,available,0.8214285714285714
g-daas,00-05,3,crew,0.07142857142857142
g-daas,00-05,3,weather,0.10714285714285714
g-daas,06-11,3,aircraft,0.2286745406824147
g-daas,06-11,3,available,0.5636482939632546
g-daas,06-11,3,crew,0.09055118110236221
g-daas,06-11,3,weather,0.1171259842519685
g-daas,12-17,3,aircraft,0.04838709677419355
g-daas,12-17,3,available,0.6451612903225806
g-daas,12-17,3,crew,0.18064516129032257
g-daas,12-17,3,weather,0.12580645161290321
g-daas,18-23,3,aircraft,0.23638132295719844
g-daas,18-23,3,available,0.4422178988326848
g-daas,18-23,3,crew,0.0311284046692607
g-daas,18-23,3,weather,0.29027237354085605
g-daas,00-05,4,available,0.75
g-daas,00-05,4,crew,0.05714285714285714
g-daas,00-05,4,weather,0.19285714285714287
g-daas,06-11,4,aircraft,0.14158576051779936
g-daas,06-11,4,available,0.5299352750809061
g-daas,06-11,4,crew,0.01699029126213592
g-daas,06-11,4,weather,0.31148867313915857
g-daas,12-17,4,aircraft,0.033950617283950615
g-daas,12-17,4,available,0.6237654320987654
g-daas,12-17,4,crew,0.10802469135802469
g-daas,12-17,4,weather,0.23425925925925925
g-daas,18-23,4,aircraft,0.01747311827956989
g-daas,18-23,4,available,0.6059139784946237
g-daas,18-23,4,crew,0.024193548387096774
g-daas,18-23,4,weather,0.3524193548387097
