registration,six_hour_bin,quarter,reason,probability
g-daan,00-05,1,aircraft,
g-daan,00-05,1,available,
g-daan,00-05,1,crew,
g-daan,00-05,1,weather,
g-daan,06-11,1,aircraft,0.005092593
g-daan,06-11,1,available,0.5447685185185185
g-daan,06-11,1,crew,0.016435185185185185
g-daan,06-11,1,weather,0.4337037037037037
g-daan,12-17,1,aircraft,0.022619048
g-daan,12-17,1,available,0.8400793650793651
g-daan,12-17,1,crew,0.025
g-daan,12-17,1,weather,0.1123015873015873
g-daan,18-23,1,aircraft,0
g-daan,18-23,1,available,1
g-daan,18-23,1,crew,0
g-daan,18-23,1,weather,0
g-daan,06-11,2,aircraft,0.009722222
g-daan,06-11,2,available,0.6287037037037037
g-daan,06-11,2,crew,0.051388889
g-daan,06-11,2,weather,0.3101851851851852
g-daan,12-17,2,aircraft,
g-daan,12-17,2,available,
g-daan,12-17,2,crew,
g-daan,12-17,2,weather,
g-daan,06-11,3,aircraft,0.023467433
g-daan,06-11,3,available,0.6458333333333334
g-daan,06-11,3,crew,0.049568966
g-daan,06-11,3,weather,0.2811302681992337
g-daan,12-17,3,aircraft,
g-daan,12-17,3,available,
g-daan,12-17,3,crew,
g-daan,12-17,3,weather,
g-daan,18-23,3,aircraft,
g-daan,18-23,3,available,
g-daan,18-23,3,crew,
g-daan,18-23,3,weather,
g-daan,06-11,4,aircraft,0.026342593
g-daan,06-11,4,available,0.525787037
g-daan,06-11,4,crew,0.059027777777777776
g-daan,06-11,4,weather,0.3888425925925926
g-daan,12-17,4,aircraft,
g-daan,12-17,4,available,
g-daan,12-17,4,crew,
g-daan,12-17,4,weather,
g-daan,18-23,4,aircraft,
g-daan,18-23,4,available,
g-daan,18-23,4,crew,
g-daan,18-23,4,weather,
g-daas,00-05,1,aircraft,
g-daas,00-05,1,available,
g-daas,00-05,1,crew,
g-daas,00-05,1,weather,
g-daas,06-11,1,aircraft,0.018762183235867445
g-daas,06-11,1,available,0.7349415204678362
g-daas,06-11,1,crew,0.1344541910331384
g-daas,06-11,1,weather,0.1118421052631579
g-daas,12-17,1,aircraft,0
g-daas,12-17,1,available,0.7524561403508772
g-daas,12-17,1,crew,0.072807018
g-daas,12-17,1,weather,0.17473684210526316
g-daas,18-23,1,aircraft,0.001879699
g-daas,18-23,1,available,0.8648705096073517
g-daas,18-23,1,crew,0.026733500417710943
g-daas,18-23,1,weather,0.10651629072681704
g-daas,00-05,2,aircraft,
g-daas,00-05,2,available,
g-daas,00-05,2,crew,
g-daas,00-05,2,weather,
g-daas,06-11,2,aircraft,0.1825657894736842
g-daas,06-11,2,available,0.6455592105263158
g-daas,06-11,2,crew,0.073190789
g-daas,06-11,2,weather,0.098684211
g-daas,12-17,2,aircraft,
g-daas,12-17,2,available,
g-daas,12-17,2,crew,
g-daas,12-17,2,weather,
g-daas,18-23,2,aircraft,0.032219973
g-daas,18-23,2,available,0.8834345479082322
g-daas,18-23,2,crew,0.005060729
g-daas,18-23,2,weather,0.07928475
g-daas,00-05,3,aircraft,
g-daas,00-05,3,available,
g-daas,00-05,3,crew,
g-daas,00-05,3,weather,
g-daas,06-11,3,aircraft,0.13895534290271133
g-daas,06-11,3,available,0.7348484848484849
g-daas,06-11,3,crew,0.055023923
g-daas,06-11,3,weather,0.071172249
g-daas,12-17,3,aircraft,0.032894737
g-daas,12-17,3,available,0.7587719298245614
g-daas,12-17,3,crew,0.12280701754385964
g-daas,12-17,3,weather,0.085526316
g-daas,18-23,3,aircraft,0.051570458404074704
g-daas,18-23,3,available,0.8783106960950764
g-daas,18-23,3,crew,0.006791171
g-daas,18-23,3,weather,0.063327674
g-daas,00-05,4,aircraft,
g-daas,00-05,4,available,
g-daas,00-05,4,crew,
g-daas,00-05,4,weather,
g-daas,06-11,4,aircraft,0.085282651
g-daas,06-11,4,available,0.7168615984405458
g-daas,06-11,4,crew,0.010233918
g-daas,06-11,4,weather,0.18762183235867447
g-daas,12-17,4,aircraft,0.019298246
g-daas,12-17,4,available,0.786140351
g-daas,12-17,4,crew,0.061403509
g-daas,12-17,4,weather,0.13315789473684211
g-daas,18-23,4,aircraft,0.006109023
g-daas,18-23,4,available,0.862218045
g-daas,18-23,4,crew,0.008458647
g-daas,18-23,4,weather,0.12321428571428572
