,pt_outcome,hems_result,care_category,count,total,proportion
0,Conveyed,Patient Conveyed by HEMS,CC,96,96,1.0
1,Conveyed,Patient Conveyed by HEMS,EC,39,39,1.0
2,Conveyed,Patient Conveyed by HEMS,REG,331,331,1.0
3,Conveyed,Patient Conveyed by land with HEMS,CC,141,141,1.0
4,Conveyed,Patient Conveyed by land with HEMS,EC,111,111,1.0
5,Conveyed,Patient Conveyed by land with HEMS,REG,526,526,1.0
6,Conveyed,Patient Treated but not conveyed by HEMS,CC,16,22,0.7273
7,Conveyed,Patient Treated but not conveyed by HEMS,EC,33,198,0.1667
8,Conveyed,Patient Treated but not conveyed by HEMS,REG,772,1069,0.7222
9,Deceased,Patient Treated but not conveyed by HEMS,CC,6,22,0.2727
10,Deceased,Patient Treated but not conveyed by HEMS,EC,165,198,0.8333
11,Deceased,Patient Treated but not conveyed by HEMS,REG,297,1069,0.2778
12,Unknown,Landed but no patient contact,REG,431,431,1.0
13,Unknown,Stand Down,CC,4,4,1.0
14,Unknown,Stand Down,EC,7,7,1.0
15,Unknown,Stand Down,REG,1439,1439,1.0
16,Unknown,Unknown,REG,794,794,1.0
