,ampds_card,hour,callsign,count,proportion
0,6,0,CC70,2,0.4
1,6,0,H70,3,0.6
2,6,1,CC70,1,1.0
3,6,6,H70,2,1.0
4,6,7,CC70,3,0.4286
5,6,7,CC72,1,0.1429
6,6,7,H70,3,0.4286
7,6,8,CC70,6,0.25
8,6,8,CC72,2,0.0833
9,6,8,H70,12,0.5
10,6,8,H71,4,0.1667
11,6,9,CC70,1,0.0435
12,6,9,CC71,1,0.0435
13,6,9,H70,14,0.6087
14,6,9,H71,7,0.3043
15,6,10,CC70,1,0.037
16,6,10,CC71,2,0.0741
17,6,10,CC72,7,0.2593
18,6,10,H70,12,0.4444
19,6,10,H71,5,0.1852
20,6,11,CC70,1,0.0588
21,6,11,CC72,2,0.1176
22,6,11,H70,7,0.4118
23,6,11,H71,7,0.4118
24,6,12,CC72,6,0.2857
25,6,12,H70,12,0.5714
26,6,12,H71,3,0.1429
27,6,13,CC70,2,0.1333
28,6,13,CC71,2,0.1333
29,6,13,CC72,2,0.1333
30,6,13,H70,6,0.4
31,6,13,H71,3,0.2
32,6,14,CC72,5,0.2778
33,6,14,H70,8,0.4444
34,6,14,H71,5,0.2778
35,6,15,CC70,2,0.0909
36,6,15,CC71,1,0.0455
37,6,15,CC72,1,0.0455
38,6,15,H70,10,0.4545
39,6,15,H71,8,0.3636
40,6,16,CC70,1,0.0476
41,6,16,CC71,1,0.0476
42,6,16,CC72,2,0.0952
43,6,16,H70,10,0.4762
44,6,16,H71,7,0.3333
45,6,17,CC70,3,0.2
46,6,17,H70,11,0.7333
47,6,17,H71,1,0.0667
48,6,18,CC70,1,0.125
49,6,18,CC71,1,0.125
50,6,18,CC72,1,0.125
51,6,18,H70,5,0.625
52,6,19,CC70,2,0.1429
53,6,19,H70,10,0.7143
54,6,19,H71,2,0.1429
55,6,20,CC70,7,0.4375
56,6,20,H70,9,0.5625
57,6,21,CC70,5,0.3846
58,6,21,CC72,1,0.0769
59,6,21,H70,7,0.5385
60,6,22,CC70,4,0.5714
61,6,22,H70,3,0.4286
62,6,23,CC70,4,0.8
63,6,23,H70,1,0.2
64,7,0,CC70,2,0.4
65,7,0,H70,3,0.6
66,7,1,CC70,2,1.0
67,7,7,CC72,1,0.5
68,7,7,H70,1,0.5
69,7,8,H70,2,0.6667
70,7,8,H71,1,0.3333
71,7,9,CC70,1,0.1667
72,7,9,H70,3,0.5
73,7,9,H71,2,0.3333
74,7,10,CC70,3,0.2143
75,7,10,CC71,1,0.0714
76,7,10,CC72,2,0.1429
77,7,10,H70,5,0.3571
78,7,10,H71,3,0.2143
79,7,11,CC70,1,0.0556
80,7,11,CC71,1,0.0556
81,7,11,CC72,1,0.0556
82,7,11,H70,8,0.4444
83,7,11,H71,7,0.3889
84,7,12,CC72,4,0.5714
85,7,12,H70,2,0.2857
86,7,12,H71,1,0.1429
87,7,13,CC72,1,0.2
88,7,13,H70,4,0.8
89,7,14,CC70,1,0.0833
90,7,14,H70,5,0.4167
91,7,14,H71,6,0.5
92,7,15,CC70,2,0.1667
93,7,15,H70,5,0.4167
94,7,15,H71,5,0.4167
95,7,16,CC70,2,0.1429
96,7,16,CC71,2,0.1429
97,7,16,CC72,2,0.1429
98,7,16,H70,5,0.3571
99,7,16,H71,3,0.2143
100,7,17,CC71,1,0.1111
101,7,17,H70,7,0.7778
102,7,17,H71,1,0.1111
103,7,18,CC70,3,0.2727
104,7,18,H70,8,0.7273
105,7,19,H70,7,1.0
106,7,20,H70,3,1.0
107,7,21,H70,2,1.0
108,7,22,CC70,2,0.6667
109,7,22,H70,1,0.3333
110,7,23,CC70,2,0.6667
111,7,23,H70,1,0.3333
112,9,0,CC70,26,0.5778
113,9,0,CC71,1,0.0222
114,9,0,CC72,1,0.0222
115,9,0,H70,17,0.3778
116,9,1,CC70,10,0.4762
117,9,1,CC72,1,0.0476
118,9,1,H70,9,0.4286
119,9,1,H71,1,0.0476
120,9,5,H70,3,1.0
121,9,6,CC70,4,0.5714
122,9,6,CC71,1,0.1429
123,9,6,CC72,1,0.1429
124,9,6,H70,1,0.1429
125,9,7,CC70,15,0.2273
126,9,7,CC71,2,0.0303
127,9,7,CC72,4,0.0606
128,9,7,H70,39,0.5909
129,9,7,H71,6,0.0909
130,9,8,CC70,14,0.1061
131,9,8,CC71,8,0.0606
132,9,8,CC72,11,0.0833
133,9,8,H70,78,0.5909
134,9,8,H71,21,0.1591
135,9,9,CC70,18,0.0947
136,9,9,CC71,16,0.0842
137,9,9,CC72,20,0.1053
138,9,9,H70,99,0.5211
139,9,9,H71,37,0.1947
140,9,10,CC70,24,0.1231
141,9,10,CC71,6,0.0308
142,9,10,CC72,20,0.1026
143,9,10,H70,97,0.4974
144,9,10,H71,48,0.2462
145,9,11,CC70,23,0.1055
146,9,11,CC71,11,0.0505
147,9,11,CC72,16,0.0734
148,9,11,H70,108,0.4954
149,9,11,H71,60,0.2752
150,9,12,CC70,23,0.1186
151,9,12,CC71,12,0.0619
152,9,12,CC72,19,0.0979
153,9,12,H70,88,0.4536
154,9,12,H71,52,0.268
155,9,13,CC70,18,0.1006
156,9,13,CC71,8,0.0447
157,9,13,CC72,22,0.1229
158,9,13,H70,86,0.4804
159,9,13,H71,45,0.2514
160,9,14,CC70,13,0.097
161,9,14,CC71,6,0.0448
162,9,14,CC72,12,0.0896
163,9,14,H70,77,0.5746
164,9,14,H71,26,0.194
165,9,15,CC70,17,0.0966
166,9,15,CC71,8,0.0455
167,9,15,CC72,19,0.108
168,9,15,H70,88,0.5
169,9,15,H71,44,0.25
170,9,16,CC70,27,0.2177
171,9,16,CC71,6,0.0484
172,9,16,CC72,10,0.0806
173,9,16,H70,60,0.4839
174,9,16,H71,21,0.1694
175,9,17,CC70,20,0.1639
176,9,17,CC71,3,0.0246
177,9,17,CC72,4,0.0328
178,9,17,H70,74,0.6066
179,9,17,H71,21,0.1721
180,9,18,CC70,28,0.2569
181,9,18,CC71,3,0.0275
182,9,18,CC72,1,0.0092
183,9,18,H70,65,0.5963
184,9,18,H71,12,0.1101
185,9,19,CC70,30,0.303
186,9,19,CC72,2,0.0202
187,9,19,H70,64,0.6465
188,9,19,H71,3,0.0303
189,9,20,CC70,28,0.3333
190,9,20,CC72,1,0.0119
191,9,20,H70,54,0.6429
192,9,20,H71,1,0.0119
193,9,21,CC70,27,0.4821
194,9,21,CC71,1,0.0179
195,9,21,CC72,2,0.0357
196,9,21,H70,26,0.4643
197,9,22,CC70,32,0.4638
198,9,22,CC71,1,0.0145
199,9,22,H70,35,0.5072
200,9,22,H71,1,0.0145
201,9,23,CC70,36,0.5625
202,9,23,CC72,1,0.0156
203,9,23,H70,27,0.4219
204,10,0,H70,2,1.0
205,10,2,CC72,1,1.0
206,10,5,CC70,1,0.5
207,10,5,H71,1,0.5
208,10,6,CC70,1,0.125
209,10,6,H70,5,0.625
210,10,6,H71,2,0.25
211,10,7,CC70,1,0.125
212,10,7,H70,5,0.625
213,10,7,H71,2,0.25
214,10,8,CC70,1,0.0833
215,10,8,CC72,1,0.0833
216,10,8,H70,5,0.4167
217,10,8,H71,5,0.4167
218,10,9,CC71,3,0.1
219,10,9,CC72,1,0.0333
220,10,9,H70,10,0.3333
221,10,9,H71,16,0.5333
222,10,10,CC71,3,0.1034
223,10,10,CC72,1,0.0345
224,10,10,H70,9,0.3103
