ampds_card,hour,callsign_group,count,proportion
06,0,70,5,1.0
06,1,70,1,1.0
06,6,70,1,1.0
06,7,70,5,1.0
06,8,70,9,0.6923
06,8,71,2,0.1538
06,8,72,2,0.1538
06,9,70,6,0.5455
06,9,71,5,0.4545
06,10,70,9,0.6429
06,10,72,5,0.3571
06,11,70,3,0.2727
06,11,71,5,0.4545
06,11,72,3,0.2727
06,12,70,3,0.375
06,12,71,1,0.125
06,12,72,4,0.5
06,13,70,6,0.75
06,13,72,2,0.25
06,14,70,7,0.5385
06,14,71,1,0.0769
06,14,72,5,0.3846
06,15,70,5,0.4545
06,15,71,5,0.4545
06,15,72,1,0.0909
06,16,70,7,0.4667
06,16,71,6,0.4
06,16,72,2,0.1333
06,17,70,10,0.9091
06,17,71,1,0.0909
06,18,70,6,0.8571
06,18,72,1,0.1429
06,19,70,7,1.0
06,20,70,11,1.0
06,21,70,6,0.8571
06,21,72,1,0.1429
06,22,70,6,1.0
06,23,70,2,1.0
09,0,70,18,1.0
09,1,70,6,1.0
09,5,70,2,1.0
09,6,70,3,0.6
09,6,71,1,0.2
09,6,72,1,0.2
09,7,70,29,0.8529
09,7,71,1,0.0294
09,7,72,4,0.1176
09,8,70,40,0.5797
09,8,71,17,0.2464
09,8,72,12,0.1739
09,9,70,42,0.4884
09,9,71,23,0.2674
09,9,72,21,0.2442
09,10,70,51,0.5543
09,10,71,18,0.1957
09,10,72,23,0.25
09,11,70,58,0.58
09,11,71,24,0.24
09,11,72,18,0.18
09,12,70,45,0.5556
09,12,71,23,0.284
09,12,72,13,0.1605
09,13,70,45,0.5233
09,13,71,24,0.2791
09,13,72,17,0.1977
09,14,70,37,0.5286
09,14,71,14,0.2
09,14,72,19,0.2714
09,15,70,51,0.5312
09,15,71,22,0.2292
09,15,72,23,0.2396
09,16,70,32,0.7111
09,16,71,7,0.1556
09,16,72,6,0.1333
09,17,70,42,0.8571
09,17,71,6,0.1224
09,17,72,1,0.0204
09,18,70,40,0.9524
09,18,71,2,0.0476
09,19,70,40,1.0
09,20,70,42,1.0
09,21,70,24,0.9231
09,21,72,2,0.0769
09,22,70,39,1.0
09,23,70,31,1.0
10,2,72,1,1.0
10,6,70,2,1.0
10,7,70,2,1.0
10,8,70,3,0.375
10,8,71,4,0.5
10,8,72,1,0.125
10,9,70,6,0.4615
10,9,71,6,0.4615
10,9,72,1,0.0769
10,10,70,1,0.1
10,10,71,8,0.8
10,10,72,1,0.1
10,11,70,4,0.3636
10,11,71,4,0.3636
10,11,72,3,0.2727
10,12,70,2,0.2857
10,12,71,5,0.7143
10,13,70,3,0.25
10,13,71,8,0.6667
10,13,72,1,0.0833
10,14,70,5,0.625
10,14,71,1,0.125
10,14,72,2,0.25
10,15,70,3,0.3333
10,15,71,3,0.3333
10,15,72,3,0.3333
10,16,70,3,0.4286
10,16,71,4,0.5714
10,17,70,4,0.8
10,17,71,1,0.2
10,18,70,4,1.0
10,19,70,3,1.0
10,20,70,3,1.0
