ampds_card,care_category,count,proportion
06,CC,7,0.042
06,EC,13,0.078
06,REG,147,0.88
09,CC,88,0.083
09,EC,177,0.167
09,REG,794,0.75
10,CC,2,0.018
10,EC,3,0.028
10,REG,104,0.954
12,CC,11,0.037
12,EC,15,0.051
12,REG,271,0.912
17,CC,31,0.053
17,EC,40,0.069
17,REG,512,0.878
23,CC,1,0.01
23,EC,5,0.052
23,REG,90,0.938
27,CC,3,0.019
27,EC,3,0.019
27,REG,152,0.962
29,CC,51,0.081
29,EC,44,0.07
29,REG,534,0.849
30,CC,17,0.046
30,EC,18,0.049
30,REG,335,0.905
31,CC,12,0.046
31,EC,7,0.027
31,REG,244,0.928
Other,CC,40,0.058
Other,EC,31,0.045
Other,REG,621,0.897
