pt_outcome,vehicle_type,callsign_group,quarter,count,proportion
Deceased,helicopter,70,1,51,0.127
Deceased,helicopter,70,2,59,0.097
Deceased,helicopter,70,3,63,0.109
Deceased,helicopter,70,4,49,0.123
Deceased,helicopter,71,1,17,0.143
Deceased,helicopter,71,2,8,0.054
Deceased,helicopter,71,3,19,0.095
Deceased,helicopter,71,4,11,0.118
Deceased,helicopter,72,1,0,0.0
Deceased,helicopter,72,2,0,0.0
Deceased,helicopter,72,3,0,0.0
Deceased,helicopter,72,4,0,0.0
Deceased,helicopter,Other,1,0,0.0
Deceased,helicopter,Other,2,0,0.0
Deceased,helicopter,Other,3,0,0.0
Deceased,helicopter,Other,4,0,0.0
Deceased,car,70,1,38,0.144
Deceased,car,70,2,17,0.111
Deceased,car,70,3,24,0.117
Deceased,car,70,4,26,0.095
Deceased,car,71,1,4,0.07
Deceased,car,71,2,10,0.156
Deceased,car,71,3,4,0.075
Deceased,car,71,4,9,0.12
Deceased,car,72,1,23,0.116
Deceased,car,72,2,10,0.05
Deceased,car,72,3,12,0.069
Deceased,car,72,4,14,0.097
Deceased,car,Other,1,0,0.0
Deceased,car,Other,2,0,0.0
Deceased,car,Other,3,0,0.0
Deceased,car,Other,4,0,0.0
Deceased,,70,1,0,
Deceased,,70,2,0,
Deceased,,70,3,0,
Deceased,,70,4,0,
Deceased,,71,1,0,
Deceased,,71,2,0,
Deceased,,71,3,0,
Deceased,,71,4,0,
Deceased,,72,1,0,
Deceased,,72,2,0,
Deceased,,72,3,0,
Deceased,,72,4,0,
Deceased,,Other,1,0,
Deceased,,Other,2,0,
Deceased,,Other,3,0,
Deceased,,Other,4,0,
Unknown,helicopter,70,1,168,0.417
Unknown,helicopter,70,2,251,0.413
Unknown,helicopter,70,3,253,0.438
Unknown,helicopter,70,4,175,0.441
Unknown,helicopter,71,1,32,0.269
Unknown,helicopter,71,2,48,0.322
Unknown,helicopter,71,3,55,0.274
Unknown,helicopter,71,4,32,0.344
Unknown,helicopter,72,1,0,0.0
Unknown,helicopter,72,2,0,0.0
Unknown,helicopter,72,3,0,0.0
Unknown,helicopter,72,4,0,0.0
Unknown,helicopter,Other,1,0,0.0
Unknown,helicopter,Other,2,0,0.0
Unknown,helicopter,Other,3,0,0.0
Unknown,helicopter,Other,4,0,0.0
Unknown,car,70,1,122,0.464
Unknown,car,70,2,72,0.471
Unknown,car,70,3,120,0.583
Unknown,car,70,4,137,0.498
Unknown,car,71,1,28,0.491
Unknown,car,71,2,25,0.391
Unknown,car,71,3,27,0.509
Unknown,car,71,4,31,0.413
Unknown,car,72,1,75,0.377
Unknown,car,72,2,83,0.411
Unknown,car,72,3,82,0.471
Unknown,car,72,4,65,0.448
Unknown,car,Other,1,0,0.0
Unknown,car,Other,2,0,0.0
Unknown,car,Other,3,0,0.0
Unknown,car,Other,4,0,0.0
Unknown,,70,1,0,
Unknown,,70,2,0,
Unknown,,70,3,0,
Unknown,,70,4,0,
Unknown,,71,1,0,
Unknown,,71,2,0,
Unknown,,71,3,0,
Unknown,,71,4,0,
Unknown,,72,1,0,
Unknown,,72,2,0,
Unknown,,72,3,0,
Unknown,,72,4,0,
Unknown,,Other,1,0,
Unknown,,Other,2,0,
Unknown,,Other,3,0,
Unknown,,Other,4,0,
Conveyed,helicopter,70,1,184,0.457
Conveyed,helicopter,70,2,298,0.49
Conveyed,helicopter,70,3,262,0.453
Conveyed,helicopter,70,4,173,0.436
Conveyed,helicopter,71,1,70,0.588
Conveyed,helicopter,71,2,93,0.624
Conveyed,helicopter,71,3,127,0.632
Conveyed,helicopter,71,4,50,0.538
Conveyed,helicopter,72,1,0,0.0
Conveyed,helicopter,72,2,0,0.0
Conveyed,helicopter,72,3,0,0.0
Conveyed,helicopter,72,4,0,0.0
Conveyed,helicopter,Other,1,0,0.0
Conveyed,helicopter,Other,2,0,0.0
Conveyed,helicopter,Other,3,0,0.0
Conveyed,helicopter,Other,4,0,0.0
Conveyed,car,70,1,103,0.392
Conveyed,car,70,2,64,0.418
Conveyed,car,70,3,62,0.301
Conveyed,car,70,4,112,0.407
Conveyed,car,71,1,25,0.439
Conveyed,car,71,2,29,0.453
Conveyed,car,71,3,22,0.415
Conveyed,car,71,4,35,0.467
Conveyed,car,72,1,101,0.508
Conveyed,car,72,2,109,0.54
Conveyed,car,72,3,80,0.46
Conveyed,car,72,4,66,0.455
Conveyed,car,Other,1,0,0.0
Conveyed,car,Other,2,0,0.0
Conveyed,car,Other,3,0,0.0
Conveyed,car,Other,4,0,0.0
Conveyed,,70,1,0,
Conveyed,,70,2,0,
Conveyed,,70,3,0,
Conveyed,,70,4,0,
Conveyed,,71,1,0,
Conveyed,,71,2,0,
Conveyed,,71,3,0,
Conveyed,,71,4,0,
Conveyed,,72,1,0,
Conveyed,,72,2,0,
Conveyed,,72,3,0,
Conveyed,,72,4,0,
Conveyed,,Other,1,0,
Conveyed,,Other,2,0,
Conveyed,,Other,3,0,
Conveyed,,Other,4,0,
