,hour,ampds_card,count,proportion
0,0,06,5,0.0667
1,0,09,18,0.24
2,0,12,3,0.04
3,0,17,11,0.1467
4,0,23,4,0.0533
5,0,27,11,0.1467
6,0,29,8,0.1067
7,0,30,5,0.0667
8,0,31,2,0.0267
9,0,Other,8,0.1067
10,1,06,1,0.0244
11,1,09,6,0.1463
12,1,12,2,0.0488
13,1,17,5,0.122
14,1,27,10,0.2439
15,1,29,6,0.1463
16,1,30,1,0.0244
17,1,31,2,0.0488
18,1,Other,8,0.1951
19,2,10,1,0.5
20,2,12,1,0.5
21,4,17,1,0.5
22,4,23,1,0.5
23,5,09,2,0.2857
24,5,17,2,0.2857
25,5,29,3,0.4286
26,6,06,1,0.0455
27,6,09,5,0.2273
28,6,10,2,0.0909
29,6,12,1,0.0455
30,6,17,3,0.1364
31,6,29,4,0.1818
32,6,30,1,0.0455
33,6,31,1,0.0455
34,6,Other,4,0.1818
35,7,06,5,0.0413
36,7,09,34,0.281
37,7,10,2,0.0165
38,7,12,10,0.0826
39,7,17,8,0.0661
40,7,23,2,0.0165
41,7,27,4,0.0331
42,7,29,14,0.1157
43,7,30,9,0.0744
44,7,31,12,0.0992
45,7,Other,21,0.1736
46,8,06,13,0.0594
47,8,09,69,0.3151
48,8,10,8,0.0365
49,8,12,22,0.1005
50,8,17,27,0.1233
51,8,23,2,0.0091
52,8,27,6,0.0274
53,8,29,25,0.1142
54,8,30,5,0.0228
55,8,31,12,0.0548
56,8,Other,30,0.137
57,9,06,11,0.0385
58,9,09,86,0.3007
59,9,10,13,0.0455
60,9,12,12,0.042
61,9,17,42,0.1469
62,9,23,6,0.021
63,9,27,5,0.0175
64,9,29,34,0.1189
65,9,30,21,0.0734
66,9,31,16,0.0559
67,9,Other,40,0.1399
68,10,06,14,0.0369
69,10,09,92,0.2427
70,10,10,10,0.0264
71,10,12,32,0.0844
72,10,17,61,0.1609
73,10,23,6,0.0158
74,10,27,9,0.0237
75,10,29,40,0.1055
76,10,30,34,0.0897
77,10,31,18,0.0475
78,10,Other,63,0.1662
79,11,06,11,0.0289
80,11,09,100,0.2625
81,11,10,11,0.0289
82,11,12,27,0.0709
83,11,17,50,0.1312
84,11,23,8,0.021
85,11,27,3,0.0079
86,11,29,45,0.1181
87,11,30,41,0.1076
88,11,31,25,0.0656
89,11,Other,60,0.1575
90,12,06,8,0.0218
91,12,09,81,0.2207
92,12,10,7,0.0191
93,12,12,25,0.0681
94,12,17,54,0.1471
95,12,23,11,0.03
96,12,27,7,0.0191
97,12,29,60,0.1635
98,12,30,31,0.0845
99,12,31,27,0.0736
100,12,Other,56,0.1526
101,13,06,8,0.0227
102,13,09,86,0.2436
103,13,10,12,0.034
104,13,12,20,0.0567
105,13,17,50,0.1416
106,13,23,4,0.0113
107,13,27,7,0.0198
108,13,29,43,0.1218
109,13,30,40,0.1133
110,13,31,14,0.0397
111,13,Other,69,0.1955
112,14,06,13,0.0375
113,14,09,70,0.2017
114,14,10,8,0.0231
115,14,12,29,0.0836
116,14,17,53,0.1527
117,14,23,7,0.0202
118,14,27,6,0.0173
119,14,29,55,0.1585
120,14,30,39,0.1124
121,14,31,21,0.0605
122,14,Other,46,0.1326
123,15,06,11,0.0306
124,15,09,96,0.2674
125,15,10,9,0.0251
126,15,12,19,0.0529
127,15,17,54,0.1504
128,15,23,3,0.0084
129,15,27,3,0.0084
130,15,29,69,0.1922
131,15,30,37,0.1031
132,15,31,9,0.0251
133,15,Other,49,0.1365
134,16,06,15,0.0536
135,16,09,45,0.1607
136,16,10,7,0.025
137,16,12,16,0.0571
138,16,17,35,0.125
139,16,23,6,0.0214
140,16,27,5,0.0179
141,16,29,59,0.2107
142,16,30,31,0.1107
143,16,31,15,0.0536
144,16,Other,46,0.1643
145,17,06,11,0.0437
146,17,09,49,0.1944
147,17,10,5,0.0198
148,17,12,15,0.0595
149,17,17,30,0.119
150,17,23,5,0.0198
151,17,27,8,0.0317
152,17,29,38,0.1508
153,17,30,18,0.0714
154,17,31,22,0.0873
155,17,Other,51,0.2024
156,18,06,7,0.0343
157,18,09,42,0.2059
158,18,10,4,0.0196
159,18,12,13,0.0637
160,18,17,20,0.098
161,18,23,6,0.0294
162,18,27,12,0.0588
163,18,29,35,0.1716
164,18,30,10,0.049
165,18,31,15,0.0735
166,18,Other,40,0.1961
167,19,06,7,0.037
168,19,09,40,0.2116
169,19,10,3,0.0159
170,19,12,9,0.0476
171,19,17,18,0.0952
172,19,23,4,0.0212
173,19,27,15,0.0794
174,19,29,31,0.164
175,19,30,16,0.0847
176,19,31,19,0.1005
177,19,Other,27,0.1429
178,20,06,11,0.0643
179,20,09,42,0.2456
180,20,10,3,0.0175
181,20,12,11,0.0643
182,20,17,22,0.1287
183,20,23,3,0.0175
184,20,27,13,0.076
185,20,29,19,0.1111
186,20,30,10,0.0585
187,20,31,12,0.0702
188,20,Other,25,0.1462
189,21,06,7,0.0569
