,hour,quarter,count,proportion
0,0,1,23,0.0226
4,1,1,11,0.0108
8,2,1,1,0.001
11,4,1,1,0.001
13,5,1,1,0.001
17,6,1,5,0.0049
21,7,1,24,0.0236
25,8,1,50,0.0491
29,9,1,83,0.0815
33,10,1,93,0.0913
37,11,1,96,0.0942
41,12,1,92,0.0903
45,13,1,72,0.0707
49,14,1,82,0.0805
53,15,1,79,0.0775
57,16,1,54,0.053
61,17,1,49,0.0481
65,18,1,32,0.0314
69,19,1,47,0.0461
73,20,1,33,0.0324
77,21,1,28,0.0275
81,22,1,30,0.0294
85,23,1,33,0.0324
1,0,2,15,0.013
5,1,2,6,0.0052
12,4,2,1,0.0009
14,5,2,5,0.0043
18,6,2,10,0.0087
22,7,2,38,0.0329
26,8,2,53,0.0459
30,9,2,57,0.0494
34,10,2,99,0.0858
38,11,2,99,0.0858
42,12,2,100,0.0867
46,13,2,101,0.0875
50,14,2,81,0.0702
54,15,2,84,0.0728
58,16,2,83,0.0719
62,17,2,79,0.0685
66,18,2,55,0.0477
70,19,2,47,0.0407
74,20,2,45,0.039
78,21,2,41,0.0355
82,22,2,31,0.0269
86,23,2,24,0.0208
2,0,3,25,0.022
6,1,3,8,0.007
15,5,3,2,0.0018
19,6,3,4,0.0035
23,7,3,25,0.022
27,8,3,49,0.0431
31,9,3,58,0.051
35,10,3,87,0.0765
39,11,3,86,0.0756
43,12,3,95,0.0836
47,13,3,86,0.0756
51,14,3,90,0.0792
55,15,3,118,0.1038
59,16,3,82,0.0721
63,17,3,66,0.058
67,18,3,65,0.0572
71,19,3,59,0.0519
75,20,3,39,0.0343
79,21,3,31,0.0273
83,22,3,31,0.0273
87,23,3,31,0.0273
3,0,4,11,0.0118
7,1,4,11,0.0118
9,2,4,1,0.0011
10,3,4,1,0.0011
16,5,4,3,0.0032
20,6,4,10,0.0107
24,7,4,23,0.0247
28,8,4,49,0.0526
32,9,4,70,0.0751
36,10,4,86,0.0923
40,11,4,88,0.0944
44,12,4,84,0.0901
48,13,4,64,0.0687
52,14,4,75,0.0805
56,15,4,73,0.0783
60,16,4,53,0.0569
64,17,4,43,0.0461
68,18,4,37,0.0397
72,19,4,32,0.0343
76,20,4,44,0.0472
80,21,4,25,0.0268
84,22,4,27,0.029
88,23,4,22,0.0236
