,hour,quarter,mean_cases,mean_iat,t,arrival_rate
0,0,1,1.1,54.78260869565217,0,0.018253968253968255
1,0,2,1.0,60.0,0,0.016666666666666666
2,0,3,1.0,57.391304347826086,0,0.017424242424242425
3,0,4,1.0,60.0,0,0.016666666666666666
4,1,1,1.0,60.0,1,0.016666666666666666
5,1,2,1.0,60.0,1,0.016666666666666666
6,1,3,1.2,50.0,1,0.02
7,1,4,1.1,55.00000000000001,1,0.01818181818181818
8,2,1,1.0,60.0,2,0.016666666666666666
9,2,4,1.0,60.0,2,0.016666666666666666
10,4,1,1.0,60.0,4,0.016666666666666666
11,4,2,1.0,60.0,4,0.016666666666666666
12,5,1,1.0,60.0,5,0.016666666666666666
13,5,2,1.2,48.0,5,0.020833333333333332
14,5,4,1.0,60.0,5,0.016666666666666666
15,6,1,1.4,42.85714285714286,6,0.02333333333333333
16,6,2,1.1,54.0,6,0.018518518518518517
17,6,3,1.0,60.0,6,0.016666666666666666
18,6,4,1.0,60.0,6,0.016666666666666666
19,7,1,1.1,52.5,7,0.01904761904761905
20,7,2,1.1,53.68421052631579,7,0.018627450980392157
21,7,3,1.1,52.25806451612903,7,0.019135802469135803
22,7,4,1.1,55.714285714285715,7,0.017948717948717947
23,8,1,1.2,50.76923076923077,8,0.0196969696969697
24,8,2,1.2,48.42105263157895,8,0.020652173913043477
25,8,3,1.3,47.755102040816325,8,0.020940170940170942
26,8,4,1.3,47.21311475409836,8,0.021180555555555553
27,9,1,1.3,45.51724137931035,9,0.02196969696969697
28,9,2,1.2,50.847457627118644,9,0.019666666666666666
29,9,3,1.2,48.857142857142854,9,0.020467836257309944
30,9,4,1.3,45.42857142857143,9,0.0220125786163522
31,10,1,1.4,44.375,10,0.022535211267605635
32,10,2,1.3,46.93069306930693,10,0.02130801687763713
33,10,3,1.3,46.725663716814154,10,0.021401515151515154
34,10,4,1.2,48.69565217391304,10,0.02053571428571429
35,11,1,1.4,44.08163265306122,11,0.022685185185185187
36,11,2,1.4,42.17821782178218,11,0.023708920187793428
37,11,3,1.3,46.4516129032258,11,0.02152777777777778
38,11,4,1.3,45.168539325842694,11,0.022139303482587067
39,12,1,1.3,47.74193548387097,12,0.020945945945945947
40,12,2,1.4,41.76470588235294,12,0.023943661971830985
41,12,3,1.3,46.0,12,0.021739130434782608
42,12,4,1.3,46.09756097560975,12,0.021693121693121695
43,13,1,1.3,46.666666666666664,13,0.02142857142857143
44,13,2,1.3,46.93069306930693,13,0.02130801687763713
45,13,3,1.3,45.294117647058826,13,0.02207792207792208
46,13,4,1.2,50.76923076923077,13,0.0196969696969697
47,14,1,1.3,46.20689655172414,14,0.021641791044776117
48,14,2,1.3,47.857142857142854,14,0.020895522388059702
49,14,3,1.3,46.10526315789473,14,0.02168949771689498
50,14,4,1.3,45.92592592592593,14,0.021774193548387093
51,15,1,1.4,44.25,15,0.022598870056497175
52,15,2,1.3,45.1764705882353,15,0.022135416666666664
53,15,3,1.4,41.612903225806456,15,0.02403100775193798
54,15,4,1.2,49.714285714285715,15,0.020114942528735632
55,16,1,1.2,49.090909090909086,16,0.020370370370370372
56,16,2,1.3,46.20689655172414,16,0.021641791044776117
57,16,3,1.4,43.70370370370371,16,0.022881355932203386
58,16,4,1.2,48.42105263157895,16,0.020652173913043477
59,17,1,1.1,54.0,17,0.018518518518518517
60,17,2,1.4,44.096385542168676,17,0.0226775956284153
61,17,3,1.3,46.02739726027397,17,0.021726190476190475
62,17,4,1.2,48.26086956521739,17,0.02072072072072072
63,18,1,1.0,58.125,18,0.017204301075268817
64,18,2,1.1,52.36363636363637,18,0.01909722222222222
65,18,3,1.2,49.523809523809526,18,0.02019230769230769
66,18,4,1.2,50.0,18,0.02
67,19,1,1.1,54.8936170212766,19,0.01821705426356589
68,19,2,1.1,52.6530612244898,19,0.018992248062015504
69,19,3,1.2,52.075471698113205,19,0.01920289855072464
70,19,4,1.2,49.5,19,0.020202020202020204
71,20,1,1.1,54.54545454545454,20,0.018333333333333337
72,20,2,1.0,57.33333333333333,20,0.01744186046511628
73,20,3,1.1,56.25,20,0.017777777777777778
74,20,4,1.2,52.00000000000001,20,0.01923076923076923
75,21,1,1.1,55.714285714285715,21,0.017948717948717947
76,21,2,1.1,54.28571428571428,21,0.01842105263157895
77,21,3,1.0,57.77777777777777,21,0.01730769230769231
78,21,4,1.0,57.69230769230769,21,0.017333333333333333
79,22,1,1.1,56.0,22,0.017857142857142856
80,22,2,1.1,56.12903225806452,22,0.017816091954022988
81,22,3,1.1,53.333333333333336,22,0.01875
82,22,4,1.0,58.18181818181818,22,0.0171875
83,23,1,1.0,58.18181818181818,23,0.0171875
84,23,2,1.0,60.0,23,0.016666666666666666
85,23,3,1.1,55.86206896551724,23,0.017901234567901235
86,23,4,1.0,57.77777777777777,23,0.01730769230769231
