pt_outcome,care_category,quarter,count,proportion
Deceased,CC,1,0,0.0
Deceased,CC,2,1,0.014
Deceased,CC,3,4,0.05
Deceased,CC,4,1,0.018
Deceased,EC,1,50,0.617
Deceased,EC,2,29,0.674
Deceased,EC,3,44,0.427
Deceased,EC,4,42,0.328
Deceased,REG,1,83,0.076
Deceased,REG,2,74,0.058
Deceased,REG,3,74,0.061
Deceased,REG,4,66,0.065
Unknown,CC,1,1,0.018
Unknown,CC,2,0,0.0
Unknown,CC,3,2,0.025
Unknown,CC,4,1,0.018
Unknown,EC,1,2,0.025
Unknown,EC,2,2,0.047
Unknown,EC,3,1,0.01
Unknown,EC,4,2,0.016
Unknown,REG,1,606,0.557
Unknown,REG,2,683,0.539
Unknown,REG,3,725,0.594
Unknown,REG,4,650,0.64
Conveyed,CC,1,55,0.982
Conveyed,CC,2,71,0.986
Conveyed,CC,3,74,0.925
Conveyed,CC,4,53,0.964
Conveyed,EC,1,29,0.358
Conveyed,EC,2,12,0.279
Conveyed,EC,3,58,0.563
Conveyed,EC,4,84,0.656
Conveyed,REG,1,399,0.367
Conveyed,REG,2,510,0.403
Conveyed,REG,3,421,0.345
Conveyed,REG,4,299,0.295
