,callsign_group,month,vehicle_type,count,proportion
0,70,1,car,68,0.3178
1,70,1,helicopter,146,0.6822
2,70,2,car,93,0.4408
3,70,2,helicopter,118,0.5592
4,70,3,car,102,0.4232
5,70,3,helicopter,139,0.5768
6,70,4,car,67,0.2803
7,70,4,helicopter,172,0.7197
8,70,5,car,51,0.1932
9,70,5,helicopter,213,0.8068
10,70,6,car,36,0.1385
11,70,6,helicopter,224,0.8615
12,70,7,car,74,0.2792
13,70,7,helicopter,191,0.7208
14,70,8,car,62,0.2305
15,70,8,helicopter,207,0.7695
16,70,9,car,71,0.2829
17,70,9,helicopter,180,0.7171
18,70,10,car,86,0.3295
19,70,10,helicopter,175,0.6705
20,70,11,car,89,0.4406
21,70,11,helicopter,113,0.5594
22,70,12,car,100,0.4762
23,70,12,helicopter,110,0.5238
24,71,1,car,9,0.1233
25,71,1,helicopter,64,0.8767
26,71,2,car,23,0.5476
27,71,2,helicopter,19,0.4524
28,71,3,car,25,0.4098
29,71,3,helicopter,36,0.5902
30,71,4,car,32,0.5517
31,71,4,helicopter,26,0.4483
32,71,5,car,21,0.28
33,71,5,helicopter,54,0.72
34,71,6,car,13,0.1585
35,71,6,helicopter,69,0.8415
36,71,7,car,9,0.1034
37,71,7,helicopter,78,0.8966
38,71,8,car,14,0.14
39,71,8,helicopter,86,0.86
40,71,9,car,31,0.4559
41,71,9,helicopter,37,0.5441
42,71,10,car,22,0.3284
43,71,10,helicopter,45,0.6716
44,71,11,car,18,0.3913
45,71,11,helicopter,28,0.6087
46,71,12,car,35,0.6364
47,71,12,helicopter,20,0.3636
48,72,1,car,55,1.0
49,72,2,car,76,1.0
50,72,3,car,68,1.0
51,72,4,car,67,1.0
52,72,5,car,68,1.0
53,72,6,car,68,1.0
54,72,7,car,65,1.0
55,72,8,car,62,1.0
56,72,9,car,47,1.0
57,72,10,car,55,1.0
58,72,11,car,43,1.0
59,72,12,car,48,1.0
