,care_cat,time_type,run_number,jobs,jobs_per_year
0,CC,HEMS Resource Available,1,232,116.00000000000001
1,CC,HEMS Resource Available,2,239,119.5
2,CC,HEMS Resource Available,3,252,126.00000000000001
3,CC,HEMS Resource Available,4,207,103.5
4,CC,HEMS Resource Available,5,244,122.0
5,CC,HEMS Resource Available,6,218,109.0
6,CC,HEMS Resource Available,7,220,110.0
7,CC,HEMS Resource Available,8,229,114.5
8,CC,HEMS Resource Available,9,243,121.50000000000001
9,CC,HEMS Resource Available,10,227,113.5
10,CC,HEMS Resource Available,11,244,122.0
11,CC,HEMS Resource Available,12,214,107.0
12,CC,HEMS Resource Available,13,276,138.0
13,CC,HEMS Resource Available,14,239,119.5
14,CC,HEMS Resource Available,15,251,125.49999999999999
15,CC,HEMS Resource Available,16,217,108.5
16,CC,HEMS Resource Available,17,224,112.0
17,CC,HEMS Resource Available,18,255,127.5
18,CC,HEMS Resource Available,19,198,99.0
19,CC,HEMS Resource Available,20,233,116.50000000000001
20,CC,HEMS Resource Available,21,222,111.00000000000001
21,CC,HEMS Resource Available,22,226,113.0
22,CC,HEMS Resource Available,23,238,119.0
23,CC,HEMS Resource Available,24,237,118.5
24,CC,HEMS Resource Available,25,240,120.0
25,CC,HEMS Resource Available,26,244,122.0
26,CC,HEMS Resource Available,27,236,118.0
27,CC,HEMS Resource Available,28,256,128.0
28,CC,HEMS Resource Available,29,211,105.49999999999999
29,CC,HEMS Resource Available,30,241,120.49999999999999
30,CC,No Resource Available,1,38,19.0
31,CC,No Resource Available,2,29,14.500000000000002
32,CC,No Resource Available,3,37,18.5
33,CC,No Resource Available,4,34,17.0
34,CC,No Resource Available,5,36,18.0
35,CC,No Resource Available,6,30,15.0
36,CC,No Resource Available,7,34,17.0
37,CC,No Resource Available,8,38,19.0
38,CC,No Resource Available,9,23,11.5
39,CC,No Resource Available,10,37,18.5
40,CC,No Resource Available,11,40,20.0
41,CC,No Resource Available,12,40,20.0
42,CC,No Resource Available,13,39,19.5
43,CC,No Resource Available,14,28,14.0
44,CC,No Resource Available,15,40,20.0
45,CC,No Resource Available,16,33,16.5
46,CC,No Resource Available,17,43,21.5
47,CC,No Resource Available,18,38,19.0
48,CC,No Resource Available,19,35,17.5
49,CC,No Resource Available,20,28,14.0
50,CC,No Resource Available,21,28,14.0
51,CC,No Resource Available,22,44,22.0
52,CC,No Resource Available,23,39,19.5
53,CC,No Resource Available,24,39,19.5
54,CC,No Resource Available,25,28,14.0
55,CC,No Resource Available,26,36,18.0
56,CC,No Resource Available,27,35,17.5
57,CC,No Resource Available,28,28,14.0
58,CC,No Resource Available,29,39,19.5
59,CC,No Resource Available,30,36,18.0
60,EC,HEMS Resource Available,1,462,230.99999999999997
61,EC,HEMS Resource Available,2,440,220.0
62,EC,HEMS Resource Available,3,449,224.5
63,EC,HEMS Resource Available,4,454,227.0
64,EC,HEMS Resource Available,5,470,235.0
65,EC,HEMS Resource Available,6,501,250.5
66,EC,HEMS Resource Available,7,489,244.5
67,EC,HEMS Resource Available,8,464,232.00000000000003
68,EC,HEMS Resource Available,9,482,240.99999999999997
69,EC,HEMS Resource Available,10,438,219.0
70,EC,HEMS Resource Available,11,464,232.00000000000003
71,EC,HEMS Resource Available,12,499,249.5
72,EC,HEMS Resource Available,13,451,225.49999999999997
73,EC,HEMS Resource Available,14,488,244.0
74,EC,HEMS Resource Available,15,489,244.5
75,EC,HEMS Resource Available,16,435,217.50000000000003
76,EC,HEMS Resource Available,17,485,242.5
77,EC,HEMS Resource Available,18,485,242.5
78,EC,HEMS Resource Available,19,475,237.50000000000003
79,EC,HEMS Resource Available,20,477,238.5
80,EC,HEMS Resource Available,21,496,248.0
81,EC,HEMS Resource Available,22,459,229.5
82,EC,HEMS Resource Available,23,496,248.0
83,EC,HEMS Resource Available,24,470,235.0
84,EC,HEMS Resource Available,25,466,233.00000000000003
85,EC,HEMS Resource Available,26,436,218.0
86,EC,HEMS Resource Available,27,475,237.50000000000003
87,EC,HEMS Resource Available,28,455,227.50000000000003
88,EC,HEMS Resource Available,29,504,252.00000000000003
89,EC,HEMS Resource Available,30,443,221.5
90,EC,No Resource Available,1,73,36.5
91,EC,No Resource Available,2,55,27.5
92,EC,No Resource Available,3,85,42.5
93,EC,No Resource Available,4,62,31.0
94,EC,No Resource Available,5,73,36.5
95,EC,No Resource Available,6,74,37.0
96,EC,No Resource Available,7,81,40.5
97,EC,No Resource Available,8,68,34.0
98,EC,No Resource Available,9,66,33.0
99,EC,No Resource Available,10,82,41.0
100,EC,No Resource Available,11,67,33.5
101,EC,No Resource Available,12,54,27.0
102,EC,No Resource Available,13,67,33.5
103,EC,No Resource Available,14,79,39.5
104,EC,No Resource Available,15,85,42.5
105,EC,No Resource Available,16,82,41.0
106,EC,No Resource Available,17,68,34.0
107,EC,No Resource Available,18,75,37.5
108,EC,No Resource Available,19,66,33.0
109,EC,No Resource Available,20,70,35.0
110,EC,No Resource Available,21,67,33.5
111,EC,No Resource Available,22,70,35.0
112,EC,No Resource Available,23,77,38.5
113,EC,No Resource Available,24,77,38.5
114,EC,No Resource Available,25,78,39.0
115,EC,No Resource Available,26,64,32.0
116,EC,No Resource Available,27,74,37.0
117,EC,No Resource Available,28,72,36.0
118,EC,No Resource Available,29,67,33.5
119,EC,No Resource Available,30,69,34.5
120,REG,HEMS Resource Available,1,3153,1576.4999999999998
121,REG,HEMS Resource Available,2,3134,1567.0
122,REG,HEMS Resource Available,3,3287,1643.5
123,REG,HEMS Resource Available,4,3217,1608.5
124,REG,HEMS Resource Available,5,3203,1601.5000000000002
125,REG,HEMS Resource Available,6,3309,1654.5
126,REG,HEMS Resource Available,7,3200,1600.0
127,REG,HEMS Resource Available,8,3237,1618.5
128,REG,HEMS Resource Available,9,3212,1606.0000000000002
129,REG,HEMS Resource Available,10,3194,1597.0000000000002
130,REG,HEMS Resource Available,11,3249,1624.5
131,REG,HEMS Resource Available,12,3277,1638.4999999999998
132,REG,HEMS Resource Available,13,3152,1576.0
133,REG,HEMS Resource Available,14,3209,1604.5
134,REG,HEMS Resource Available,15,3299,1649.5
135,REG,HEMS Resource Available,16,3207,1603.4999999999998
136,REG,HEMS Resource Available,17,3242,1621.0
137,REG,HEMS Resource Available,18,3291,1645.5
138,REG,HEMS Resource Available,19,3309,1654.5
139,REG,HEMS Resource Available,20,3191,1595.5
140,REG,HEMS Resource Available,21,3250,1624.9999999999998
141,REG,HEMS Resource Available,22,3322,1660.9999999999998
142,REG,HEMS Resource Available,23,3215,1607.5
143,REG,HEMS Resource Available,24,3273,1636.5
144,REG,HEMS Resource Available,25,3320,1660.0000000000002
145,REG,HEMS Resource Available,26,3255,1627.5
146,REG,HEMS Resource Available,27,3312,1656.0
147,REG,HEMS Resource Available,28,3381,1690.5000000000002
148,REG,HEMS Resource Available,29,3300,1650.0
149,REG,HEMS Resource Available,30,3299,1649.5
150,REG,No Resource Available,1,465,232.5
