month,H70,CC70,H71,CC71,CC72
2023-01-01,35220,35220,18600,18600,18600
2023-02-01,31920,31920,16800,16800,16800
2023-03-01,35340,35340,18600,18600,18600
2023-04-01,34200,34200,21600,21600,18000
2023-05-01,35340,35340,22320,22320,18600
2023-06-01,34200,34200,21600,21600,18000
2023-07-01,35340,35340,22320,22320,18600
2023-08-01,35340,35340,22320,22320,18600
2023-09-01,34200,34200,21600,21600,18000
2023-10-01,35340,35340,18600,18600,18600
2023-11-01,34200,34200,18000,18000,18000
2023-12-01,35340,35340,18600,18600,18600
2024-01-01,35340,35340,18600,18600,18600
2024-02-01,33060,33060,17400,17400,17400
2024-03-01,35340,35340,18600,18600,18600
2024-04-01,34200,34200,21600,21600,18000
2024-05-01,35340,35340,22320,22320,18600
2024-06-01,34200,34200,21600,21600,18000
2024-07-01,35340,35340,22320,22320,18600
2024-08-01,35340,35340,22320,22320,18600
2024-09-01,34200,34200,21600,21600,18000
2024-10-01,35340,35340,18600,18600,18600
2024-11-01,34200,34200,18000,18000,18000
2024-12-01,35340,35340,18600,18600,18600
