day,calls_in_day
1,5
2,6
3,4
4,12
5,8
6,5
7,10
8,8
9,7
10,8
11,4
12,5
13,6
14,6
15,4
16,6
17,6
18,2
19,12
20,5
21,12
22,9
23,5
24,5
25,2
26,2
27,5
28,8
29,4
30,3
31,2
32,4
33,7
34,8
35,10
36,13
37,4
38,6
39,4
40,10
41,7
42,7
43,5
44,8
45,6
46,9
47,4
48,6
49,10
50,14
51,3
52,7
53,6
54,4
55,6
56,14
57,6
58,4
59,2
60,2
61,4
62,7
63,4
64,12
65,9
66,11
67,7
68,9
69,3
70,4
71,8
72,4
73,6
74,4
75,5
76,8
77,4
78,6
79,4
80,7
81,6
82,6
83,9
84,8
85,7
86,8
87,11
88,4
89,9
90,5
91,6
92,7
93,5
94,3
95,2
96,8
97,5
98,25
99,9
100,7
101,5
102,4
103,7
104,5
105,8
106,5
107,8
108,9
109,11
110,11
111,7
112,14
113,9
114,6
115,2
116,5
117,8
118,14
119,8
120,3
121,7
122,6
123,5
124,2
125,6
126,4
127,11
128,9
129,6
130,5
131,8
132,12
133,7
134,10
135,6
136,10
137,4
138,3
139,12
140,14
141,6
142,6
143,4
144,3
145,7
146,9
147,12
148,8
149,5
150,5
151,8
152,5
153,9
154,8
155,3
156,6
157,9
158,11
159,12
160,8
161,10
162,11
163,2
164,10
165,10
166,5
167,8
168,7
169,9
170,4
171,4
172,7
173,5
174,8
175,7
176,7
177,7
178,4
179,8
180,6
181,7
182,8
183,7
184,8
185,5
186,8
187,6
188,5
189,12
190,8
191,8
192,7
193,5
194,13
195,8
196,6
197,9
198,4
199,6
200,10
201,8
202,3
203,12
204,9
205,8
206,6
207,7
208,8
209,7
210,9
211,11
212,7
213,7
214,9
215,5
216,7
217,6
218,8
219,9
220,8
221,6
222,7
223,8
224,9
225,7
226,7
227,9
228,18
229,6
230,7
231,7
232,10
233,8
234,7
235,10
236,7
237,3
238,8
239,8
240,12
241,7
242,5
243,1
244,8
245,9
246,12
247,11
248,6
249,8
250,5
251,9
252,9
253,18
254,1
255,2
256,9
257,6
258,10
259,6
260,7
261,10
262,8
263,5
264,6
265,4
266,7
267,7
268,8
269,7
270,7
271,13
272,16
273,8
274,6
275,6
276,9
277,6
278,4
279,7
280,12
281,6
282,6
283,6
284,13
285,4
286,4
287,12
288,4
289,9
290,5
291,5
292,7
293,3
294,4
295,7
296,10
297,11
298,1
299,7
300,12
301,8
302,7
303,8
304,3
305,6
306,4
307,6
308,10
309,3
310,4
311,5
312,6
313,6
314,5
315,8
316,7
317,2
318,3
319,8
320,2
321,8
322,5
323,6
324,9
325,4
326,8
327,2
328,2
329,4
330,3
331,5
332,5
333,5
334,7
335,4
336,11
337,10
338,8
339,4
340,2
341,7
342,8
343,4
344,11
345,8
346,7
347,10
348,5
349,7
350,2
351,6
352,8
353,9
354,5
355,2
356,3
357,5
358,2
359,6
360,3
361,2
362,5
363,8
364,6
365,5
366,6
367,8
368,8
369,3
370,4
371,3
372,4
373,9
374,4
375,6
376,7
377,2
378,3
379,7
380,7
381,10
382,10
383,9
384,7
385,6
386,7
387,10
388,4
389,5
390,19
391,9
392,9
393,9
394,2
395,9
396,4
397,4
398,6
399,5
400,9
401,10
402,7
403,8
404,7
405,8
406,3
407,5
408,4
409,9
410,7
411,8
412,7
413,5
414,12
415,11
416,5
417,5
418,2
419,3
420,3
421,11
422,11
423,4
424,11
425,5
426,8
427,11
428,12
429,7
430,14
431,7
432,9
433,5
434,7
435,10
436,6
437,4
438,2
439,7
440,8
441,8
442,8
443,4
444,4
