month,CC70,CC71,CC72,H70,H71
2022-07-01,11.0,1.0,2.0,23.0,11.0
2022-08-01,25.0,9.0,17.0,82.0,32.0
2022-09-01,21.0,1.0,8.0,72.0,35.0
2022-10-01,30.0,6.0,35.0,65.0,38.0
2022-11-01,38.0,4.0,21.0,58.0,29.0
2022-12-01,37.0,4.0,23.0,65.0,28.0
2023-01-01,24.0,4.0,26.0,65.0,29.0
2023-02-01,32.0,12.0,44.0,64.0,13.0
2023-03-01,50.0,19.0,28.0,64.0,0.0
2023-04-01,23.0,15.0,37.0,88.0,14.0
2023-05-01,14.0,13.0,34.0,102.0,18.0
2023-06-01,11.0,1.0,21.0,107.0,47.0
2023-07-01,35.0,5.0,20.0,100.0,42.0
2023-08-01,33.0,10.0,19.0,102.0,44.0
2023-09-01,39.0,9.0,26.0,103.0,34.0
2023-10-01,33.0,4.0,13.0,88.0,45.0
2023-11-01,28.0,5.0,14.0,61.0,11.0
2023-12-01,49.0,19.0,19.0,58.0,4.0
2024-01-01,41.0,5.0,28.0,73.0,34.0
2024-02-01,60.0,10.0,31.0,52.0,6.0
2024-03-01,52.0,5.0,39.0,73.0,36.0
2024-04-01,41.0,16.0,28.0,82.0,11.0
2024-05-01,36.0,5.0,33.0,106.0,35.0
2024-06-01,23.0,11.0,45.0,115.0,22.0
2024-07-01,35.0,3.0,36.0,66.0,26.0
