callsign_group_simplified,hour,count
HEMS (helo or car) available and sent,0,76
HEMS (helo or car) available and sent,1,41
HEMS (helo or car) available and sent,2,2
HEMS (helo or car) available and sent,4,2
HEMS (helo or car) available and sent,5,7
HEMS (helo or car) available and sent,6,22
HEMS (helo or car) available and sent,7,121
HEMS (helo or car) available and sent,8,219
HEMS (helo or car) available and sent,9,286
HEMS (helo or car) available and sent,10,379
HEMS (helo or car) available and sent,11,381
HEMS (helo or car) available and sent,12,367
HEMS (helo or car) available and sent,13,353
HEMS (helo or car) available and sent,14,347
HEMS (helo or car) available and sent,15,359
HEMS (helo or car) available and sent,16,280
HEMS (helo or car) available and sent,17,252
HEMS (helo or car) available and sent,18,204
HEMS (helo or car) available and sent,19,189
HEMS (helo or car) available and sent,20,171
HEMS (helo or car) available and sent,21,123
HEMS (helo or car) available and sent,22,130
HEMS (helo or car) available and sent,23,113
No HEMS available,0,18
No HEMS available,1,13
No HEMS available,2,65
No HEMS available,3,57
No HEMS available,4,45
No HEMS available,5,50
No HEMS available,6,34
No HEMS available,7,10
No HEMS available,8,14
No HEMS available,9,19
No HEMS available,10,25
No HEMS available,11,25
No HEMS available,12,27
No HEMS available,13,34
No HEMS available,14,33
No HEMS available,15,25
No HEMS available,16,27
No HEMS available,17,46
No HEMS available,18,50
No HEMS available,19,40
No HEMS available,20,51
No HEMS available,21,36
No HEMS available,22,31
No HEMS available,23,19
