callsign_group_simplified,month_start,count
HEMS (helo or car) available and sent,2023-01-01,155
HEMS (helo or car) available and sent,2023-02-01,167
HEMS (helo or car) available and sent,2023-03-01,163
HEMS (helo or car) available and sent,2023-04-01,181
HEMS (helo or car) available and sent,2023-05-01,187
HEMS (helo or car) available and sent,2023-06-01,189
HEMS (helo or car) available and sent,2023-07-01,203
HEMS (helo or car) available and sent,2023-08-01,210
HEMS (helo or car) available and sent,2023-09-01,215
HEMS (helo or car) available and sent,2023-10-01,184
HEMS (helo or car) available and sent,2023-11-01,121
HEMS (helo or car) available and sent,2023-12-01,150
HEMS (helo or car) available and sent,2024-01-01,187
HEMS (helo or car) available and sent,2024-02-01,162
HEMS (helo or car) available and sent,2024-03-01,207
HEMS (helo or car) available and sent,2024-04-01,182
HEMS (helo or car) available and sent,2024-05-01,219
HEMS (helo or car) available and sent,2024-06-01,218
HEMS (helo or car) available and sent,2024-07-01,214
HEMS (helo or car) available and sent,2024-08-01,220
HEMS (helo or car) available and sent,2024-09-01,150
HEMS (helo or car) available and sent,2024-10-01,197
HEMS (helo or car) available and sent,2024-11-01,170
HEMS (helo or car) available and sent,2024-12-01,163
No HEMS available,2023-01-01,31
No HEMS available,2023-02-01,27
No HEMS available,2023-03-01,38
No HEMS available,2023-04-01,45
No HEMS available,2023-05-01,33
No HEMS available,2023-06-01,28
No HEMS available,2023-07-01,35
No HEMS available,2023-08-01,26
No HEMS available,2023-09-01,27
No HEMS available,2023-10-01,28
No HEMS available,2023-11-01,37
No HEMS available,2023-12-01,33
No HEMS available,2024-01-01,23
No HEMS available,2024-02-01,33
No HEMS available,2024-03-01,32
No HEMS available,2024-04-01,20
No HEMS available,2024-05-01,38
No HEMS available,2024-06-01,42
No HEMS available,2024-07-01,38
No HEMS available,2024-08-01,29
No HEMS available,2024-09-01,36
No HEMS available,2024-10-01,49
No HEMS available,2024-11-01,33
No HEMS available,2024-12-01,33
