callsign_group_simplified,quarter,hour,count
HEMS (helo or car) available and sent,1,0,23
HEMS (helo or car) available and sent,1,1,11
HEMS (helo or car) available and sent,1,2,1
HEMS (helo or car) available and sent,1,4,1
HEMS (helo or car) available and sent,1,5,1
HEMS (helo or car) available and sent,1,6,7
HEMS (helo or car) available and sent,1,7,24
HEMS (helo or car) available and sent,1,8,52
HEMS (helo or car) available and sent,1,9,87
HEMS (helo or car) available and sent,1,10,96
HEMS (helo or car) available and sent,1,11,98
HEMS (helo or car) available and sent,1,12,93
HEMS (helo or car) available and sent,1,13,72
HEMS (helo or car) available and sent,1,14,87
HEMS (helo or car) available and sent,1,15,80
HEMS (helo or car) available and sent,1,16,55
HEMS (helo or car) available and sent,1,17,50
HEMS (helo or car) available and sent,1,18,32
HEMS (helo or car) available and sent,1,19,47
HEMS (helo or car) available and sent,1,20,33
HEMS (helo or car) available and sent,1,21,28
HEMS (helo or car) available and sent,1,22,30
HEMS (helo or car) available and sent,1,23,33
No HEMS available,1,0,7
No HEMS available,1,1,2
No HEMS available,1,2,6
No HEMS available,1,3,11
No HEMS available,1,4,15
No HEMS available,1,5,8
No HEMS available,1,6,11
No HEMS available,1,8,3
No HEMS available,1,9,5
No HEMS available,1,10,6
No HEMS available,1,11,7
No HEMS available,1,12,4
No HEMS available,1,13,11
No HEMS available,1,14,8
No HEMS available,1,15,7
No HEMS available,1,16,8
No HEMS available,1,17,13
No HEMS available,1,18,14
No HEMS available,1,19,8
No HEMS available,1,20,12
No HEMS available,1,21,6
No HEMS available,1,22,5
No HEMS available,1,23,7
HEMS (helo or car) available and sent,2,0,16
HEMS (helo or car) available and sent,2,1,6
HEMS (helo or car) available and sent,2,4,1
HEMS (helo or car) available and sent,2,5,5
HEMS (helo or car) available and sent,2,6,10
HEMS (helo or car) available and sent,2,7,38
HEMS (helo or car) available and sent,2,8,57
HEMS (helo or car) available and sent,2,9,59
HEMS (helo or car) available and sent,2,10,101
HEMS (helo or car) available and sent,2,11,101
HEMS (helo or car) available and sent,2,12,102
HEMS (helo or car) available and sent,2,13,101
HEMS (helo or car) available and sent,2,14,84
HEMS (helo or car) available and sent,2,15,85
HEMS (helo or car) available and sent,2,16,87
HEMS (helo or car) available and sent,2,17,83
HEMS (helo or car) available and sent,2,18,55
HEMS (helo or car) available and sent,2,19,49
HEMS (helo or car) available and sent,2,20,45
HEMS (helo or car) available and sent,2,21,42
HEMS (helo or car) available and sent,2,22,31
HEMS (helo or car) available and sent,2,23,24
No HEMS available,2,0,5
No HEMS available,2,1,3
No HEMS available,2,2,22
No HEMS available,2,3,14
No HEMS available,2,4,11
No HEMS available,2,5,7
No HEMS available,2,6,11
No HEMS available,2,7,4
No HEMS available,2,8,3
No HEMS available,2,9,2
No HEMS available,2,10,7
No HEMS available,2,11,7
No HEMS available,2,12,9
No HEMS available,2,13,3
No HEMS available,2,14,2
No HEMS available,2,15,5
No HEMS available,2,16,10
No HEMS available,2,17,17
No HEMS available,2,18,9
No HEMS available,2,19,14
No HEMS available,2,20,13
No HEMS available,2,21,14
No HEMS available,2,22,10
No HEMS available,2,23,4
