month,n_CC70,n_CC71,n_CC72,n_H70,n_H71,total_time_CC70,total_time_CC71,total_time_CC72,total_time_H70,total_time_H71
2022-08-01,28.0,9.0,20.0,85.0,32.0,2580.0,740.0,1767.0,7715.0,3205.0
2022-09-01,22.0,1.0,8.0,73.0,35.0,1599.0,113.0,653.0,6704.0,3356.0
2022-10-01,31.0,6.0,37.0,65.0,38.0,2700.0,531.0,2741.0,5804.0,3779.0
2022-11-01,38.0,5.0,21.0,60.0,31.0,2843.0,414.0,1676.0,4970.0,2910.0
2022-12-01,41.0,4.0,24.0,67.0,28.0,4009.0,763.0,1691.0,7024.0,3138.0
2023-01-01,27.0,4.0,27.0,68.0,29.0,2781.0,345.0,1838.0,6321.0,2726.0
2023-02-01,32.0,12.0,44.0,66.0,13.0,2095.0,1025.0,3111.0,5769.0,1082.0
2023-03-01,50.0,20.0,28.0,65.0,,4360.0,1590.0,2574.0,5573.0,
2023-04-01,24.0,16.0,38.0,89.0,15.0,1856.0,1149.0,2755.0,7454.0,1302.0
2023-05-01,15.0,16.0,35.0,103.0,19.0,1357.0,1307.0,3141.0,9117.0,2110.0
2023-06-01,12.0,1.0,22.0,108.0,47.0,1208.0,42.0,1594.0,9937.0,4412.0
2023-07-01,35.0,5.0,21.0,100.0,42.0,2447.0,178.0,1448.0,7363.0,4106.0
2023-08-01,34.0,10.0,19.0,103.0,44.0,2153.0,754.0,963.0,7464.0,4061.0
2023-09-01,40.0,10.0,27.0,104.0,35.0,5517.0,766.0,1936.0,13874.0,3028.0
2023-10-01,33.0,4.0,13.0,89.0,45.0,2272.0,434.0,881.0,8287.0,5102.0
2023-11-01,29.0,5.0,14.0,62.0,11.0,3831.0,305.0,3757.0,8261.0,1259.0
2023-12-01,49.0,19.0,20.0,58.0,4.0,5994.0,2828.0,1744.0,4245.0,398.0
2024-01-01,41.0,5.0,28.0,78.0,35.0,5798.0,1796.0,1710.0,8196.0,3179.0
2024-02-01,61.0,11.0,32.0,52.0,6.0,4347.0,1528.0,3065.0,7135.0,1990.0
2024-03-01,52.0,5.0,40.0,74.0,36.0,3953.0,564.0,3156.0,7421.0,4783.0
2024-04-01,43.0,16.0,29.0,83.0,11.0,2945.0,1133.0,2093.0,9396.0,797.0
2024-05-01,36.0,5.0,33.0,110.0,35.0,3599.0,700.0,3632.0,7733.0,2796.0
2024-06-01,24.0,12.0,46.0,116.0,22.0,4341.0,1039.0,2816.0,11208.0,1795.0
2024-07-01,35.0,3.0,39.0,77.0,29.0,1822.0,284.0,2489.0,8415.0,2635.0
2024-08-01,6.0,,9.0,39.0,23.0,865.0,,1134.0,5648.0,3158.0
2024-09-01,6.0,3.0,3.0,26.0,1.0,873.0,339.0,431.0,3720.0,118.0
2024-10-01,14.0,2.0,9.0,28.0,,1756.0,224.0,1147.0,4138.0,
2024-11-01,14.0,5.0,6.0,15.0,8.0,1591.0,586.0,519.0,2204.0,1089.0
2024-12-01,17.0,2.0,4.0,12.0,7.0,2043.0,117.0,437.0,1500.0,1266.0
