month,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
2022-07-01,7,4,4,12,8,4,7
2022-08-01,20,25,26,18,18,27,24
2022-09-01,24,21,22,17,22,16,13
2022-10-01,25,25,33,30,17,18,19
2022-11-01,22,16,24,15,15,31,20
2022-12-01,34,17,20,19,29,20,15
2023-01-01,21,23,27,28,19,15,13
2023-02-01,23,13,37,27,19,17,20
2023-03-01,27,17,17,26,26,24,17
2023-04-01,24,22,43,27,27,14,16
2023-05-01,29,27,26,30,16,22,22
2023-06-01,34,18,26,26,24,23,29
2023-07-01,21,26,34,37,28,20,24
2023-08-01,20,30,25,29,23,35,39
2023-09-01,38,24,31,36,27,20,24
2023-10-01,24,28,30,25,18,29,22
2023-11-01,16,14,19,12,19,14,25
2023-12-01,24,20,21,30,17,17,16
2024-01-01,17,27,18,24,30,31,28
2024-02-01,20,25,14,27,22,19,26
2024-03-01,33,21,46,36,21,23,17
2024-04-01,28,28,14,33,21,26,24
2024-05-01,29,23,36,28,35,28,27
2024-06-01,26,35,38,32,23,25,28
2024-07-01,25,32,21,28,31,36,31
2024-08-01,29,25,35,27,34,24,31
2024-09-01,13,17,21,24,24,20,16
2024-10-01,31,22,30,23,26,23,27
2024-11-01,25,22,24,25,18,16,26
2024-12-01,23,27,24,30,15,23,9
