month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2022-07-01,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,3.0,5.0,5.0,4.0,4.0,2.0,0.0,4.0,3.0,2.0,2.0,1.0,2.0
2022-08-01,4.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,8.0,8.0,13.0,17.0,11.0,9.0,21.0,10.0,11.0,11.0,11.0,2.0,5.0,3.0,3.0
2022-09-01,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,7.0,11.0,11.0,12.0,11.0,10.0,14.0,10.0,7.0,11.0,4.0,2.0,5.0,4.0,6.0
2022-10-01,2.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,6.0,12.0,16.0,15.0,21.0,12.0,14.0,14.0,9.0,10.0,7.0,5.0,6.0,5.0,4.0,3.0
2022-11-01,2.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,9.0,19.0,14.0,12.0,8.0,13.0,12.0,5.0,4.0,7.0,5.0,3.0,6.0,4.0,5.0
2022-12-01,1.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,8.0,11.0,14.0,14.0,20.0,10.0,12.0,13.0,13.0,6.0,4.0,4.0,5.0,2.0,3.0,2.0
2023-01-01,3.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,10.0,14.0,19.0,11.0,9.0,17.0,14.0,3.0,7.0,3.0,4.0,4.0,5.0,4.0,4.0
2023-02-01,4.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,11.0,20.0,8.0,20.0,10.0,7.0,10.0,12.0,6.0,4.0,6.0,4.0,6.0,9.0,5.0
2023-03-01,2.0,4.0,1.0,0.0,0.0,0.0,1.0,5.0,6.0,15.0,12.0,14.0,12.0,6.0,11.0,12.0,7.0,9.0,9.0,7.0,7.0,3.0,3.0,8.0
2023-04-01,4.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,7.0,11.0,12.0,16.0,15.0,16.0,12.0,11.0,13.0,18.0,7.0,8.0,4.0,5.0,7.0,1.0
2023-05-01,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,9.0,11.0,15.0,16.0,14.0,15.0,15.0,6.0,10.0,18.0,7.0,9.0,5.0,8.0,2.0,4.0
2023-06-01,3.0,1.0,0.0,0.0,1.0,1.0,3.0,5.0,3.0,8.0,16.0,14.0,19.0,19.0,7.0,22.0,13.0,3.0,13.0,7.0,9.0,5.0,4.0,4.0
2023-07-01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,8.0,14.0,15.0,11.0,17.0,23.0,11.0,13.0,11.0,8.0,13.0,10.0,8.0,5.0,5.0
2023-08-01,7.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,10.0,7.0,18.0,12.0,16.0,12.0,15.0,22.0,20.0,8.0,13.0,9.0,7.0,3.0,8.0,6.0
2023-09-01,7.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,10.0,12.0,15.0,21.0,18.0,9.0,23.0,15.0,17.0,7.0,13.0,7.0,4.0,5.0,4.0
2023-10-01,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,10.0,9.0,18.0,13.0,14.0,13.0,15.0,11.0,12.0,10.0,5.0,9.0,6.0,8.0,2.0
2023-11-01,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,5.0,13.0,14.0,11.0,5.0,10.0,9.0,6.0,6.0,5.0,3.0,5.0,8.0,5.0,3.0,5.0
2023-12-01,3.0,3.0,0.0,0.0,0.0,1.0,2.0,4.0,7.0,13.0,11.0,15.0,10.0,10.0,10.0,5.0,7.0,5.0,7.0,8.0,12.0,1.0,5.0,6.0
2024-01-01,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,12.0,17.0,21.0,14.0,15.0,17.0,13.0,5.0,6.0,7.0,14.0,4.0,4.0,3.0,4.0
2024-02-01,7.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,13.0,15.0,12.0,12.0,11.0,12.0,9.0,11.0,9.0,3.0,10.0,5.0,4.0,4.0,6.0
2024-03-01,5.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,8.0,16.0,10.0,17.0,19.0,17.0,17.0,16.0,11.0,12.0,6.0,6.0,9.0,6.0,7.0,6.0
2024-04-01,2.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,7.0,10.0,16.0,14.0,12.0,13.0,12.0,12.0,14.0,15.0,9.0,4.0,8.0,7.0,7.0,3.0
2024-05-01,3.0,2.0,0.0,0.0,0.0,1.0,1.0,10.0,9.0,8.0,13.0,20.0,17.0,17.0,18.0,15.0,16.0,8.0,7.0,6.0,11.0,10.0,6.0,8.0
2024-06-01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,17.0,7.0,22.0,11.0,19.0,16.0,13.0,13.0,15.0,14.0,11.0,13.0,8.0,7.0,5.0,4.0
